,sum_I_new,max_I_now
scenario_0,495453.1654474744,58205.033216055
scenario_1,2200047.778582157,495235.6991937703
scenario_2,310169.33330092643,43366.66478221791
scenario_3,581487.0096934657,81016.2964587676
scenario_4,454478.4550587973,54932.42470080163
scenario_5,356624.5635009668,43039.95546515928
scenario_6,2086354.4038567422,459666.5388609485
scenario_7,941340.2519920103,140694.6197152269
scenario_8,1182715.6064297548,204047.29744158965
scenario_9,1092530.087500447,180342.0849254504
scenario_10,562798.6815617012,81346.87727366418
scenario_11,220958.6754585667,46337.98975187053
scenario_12,1517669.971267137,311283.5833303735
scenario_13,574960.9949628292,81346.87727366418
scenario_14,1004999.7932330095,161513.0204832378
scenario_15,2695005.816532064,629559.0145498397
scenario_16,400272.7047445963,49836.185601260026
scenario_17,859287.7767156044,150053.98932093268
scenario_18,411989.628277564,58710.87976457568
scenario_19,864162.5171452861,150053.98932093268
scenario_20,6126538.651076799,1567052.282348659
scenario_21,2905387.9780146144,684664.5835210981
scenario_22,6459889.559660362,1655515.7822375617
scenario_23,6126538.651076799,1567052.282348659
scenario_24,5959520.168139352,1523490.8935774064
scenario_25,6296426.974124471,1613193.636997519
scenario_26,2718193.329195312,635503.7418997827
scenario_27,3041142.4107605526,721808.1854165843
scenario_28,3231382.6492289416,773089.2304842301
scenario_29,3039870.304397513,721808.1854165843
scenario_30,476767.3258270439,70820.40824102491
scenario_31,2600053.568007632,621565.8273890084
scenario_32,496299.3206525724,71158.30674582456
scenario_33,460255.30532783474,70820.40824102491
scenario_34,452329.6218135452,70755.27159507394
scenario_35,459193.0895211574,71095.20729089162
scenario_36,2483545.7855180087,591596.2629097486
scenario_37,2614453.485542649,626731.0458828089
scenario_38,2723859.5270841536,657413.5924965978
scenario_39,2609941.679657904,626731.0458828089
scenario_40,4178248.2389062964,1028307.0392843728
scenario_41,8565865.019556368,2232264.629320646
scenario_42,481278.5626894994,76641.6558819637
scenario_43,4178248.2389062964,1028307.0392843728
scenario_44,4450309.658227303,1100439.4881744974
scenario_45,720643.8435922111,94242.29598083653
scenario_46,8703863.454670567,2264937.5897955326
scenario_47,3073185.2828486618,764753.6019503748
scenario_48,2988496.947142593,722447.746985535
scenario_49,3160397.1193545177,764772.9546575723
scenario_50,4862427.19648634,1236068.488598155
scenario_51,1656400.7172051095,333000.017383386
scenario_52,5037626.404869553,1284207.633810842
scenario_53,4838737.600028312,1236068.488598155
scenario_54,3702570.2504091244,935587.6768886131
scenario_55,3858844.7108131195,982456.0921744726
scenario_56,829198.5584508788,123448.85327516182
scenario_57,923107.8229891036,142409.0106197109
scenario_58,1660085.5341985188,348247.9694161163
scenario_59,892064.7651428056,140396.6217866149
