date,I_new,I_now,Rem,v_speed_1st,v_speed_2nd
2020/1/22,0.142857143,1,0,0,0
2020/1/23,0,1,0,0,0
2020/1/24,0.142857143,1.142857143,0,0,0
2020/1/25,0.285714286,1.428571429,0,0,0
2020/1/26,0.428571429,1.857142857,0,0,0
2020/1/27,0.428571429,2.285714286,0,0,0
2020/1/28,0.857142857,3.142857143,0,0,0
2020/1/29,1,4,0.142857143,0,0
2020/1/30,1.571428571,5.428571429,0.285714286,0,0
2020/1/31,1.428571429,6.714285714,0.428571429,0,0
2020/2/1,1.285714286,7.857142857,0.571428571,0,0
2020/2/2,1.142857143,8.857142857,0.714285714,0,0
2020/2/3,1.142857143,9.857142857,0.857142857,0,0
2020/2/4,0.857142857,10.57142857,1,0,0
2020/2/5,1,11.14285714,1.428571429,0,0
2020/2/6,0.428571429,11.14285714,1.857142857,0,0
2020/2/7,0.428571429,10.85714286,2.571428571,0,0
2020/2/8,0.428571429,10.14285714,3.714285714,0,0
2020/2/9,0.428571429,9.428571429,4.857142857,0,0
2020/2/10,0.428571429,8.714285714,6,0,0
2020/2/11,0.428571429,7.857142857,7.285714286,0,0
2020/2/12,0.285714286,7.142857143,8.285714286,0,0
2020/2/13,0.714285714,6.857142857,9.285714286,0,0
2020/2/14,1.428571429,7.285714286,10.28571429,0,0
2020/2/15,2,8.714285714,10.85714286,0,0
2020/2/16,2.142857143,10.14285714,11.57142857,0,0
2020/2/17,3,12.57142857,12.14285714,0,0
2020/2/18,4,15.85714286,12.85714286,0,0
2020/2/19,5.142857143,20.14285714,13.71428571,0,0
2020/2/20,5.857142857,25.14285714,14.57142857,0,0
2020/2/21,7,31.57142857,15.14285714,0,0
2020/2/22,9.714285714,40.57142857,15.85714286,0,0
2020/2/23,11,51,16.42857143,0,0
2020/2/24,12.42857143,62.57142857,17.28571429,0,0
2020/2/25,12.42857143,73.71428571,18.57142857,0,0
2020/2/26,14.28571429,87,19.57142857,0,0
2020/2/27,16.57142857,101.2857143,21.85714286,0,0
2020/2/28,17.42857143,116.2857143,24.28571429,0,0
2020/2/29,15.42857143,129.1428571,26.85714286,0,0
2020/3/1,16,142.5714286,29.42857143,0,0
2020/3/2,15.71428571,155.5714286,32.14285714,0,0
2020/3/3,17.71428571,170.8571429,34.57142857,0,0
2020/3/4,19.42857143,187.5714286,37.28571429,0,0
2020/3/5,20.71428571,206.7142857,38.85714286,0,0
2020/3/6,25.71428571,228.4285714,42.85714286,0,0
2020/3/7,30.71428571,254.4285714,47.57142857,0,0
2020/3/8,33.71428571,282.8571429,52.85714286,0,0
2020/3/9,35.57142857,310.2857143,61,0,0
2020/3/10,41,343.1428571,69.14285714,0,0
2020/3/11,43.57142857,376.4285714,79.42857143,0,0
2020/3/12,46.71428571,411.8571429,90.71428571,0,0
2020/3/13,43.85714286,444.7142857,101.7142857,0,0
2020/3/14,46.42857143,479.5714286,113.2857143,0,0
2020/3/15,45.57142857,512.1428571,126.2857143,0,0
2020/3/16,44,545,137.4285714,0,0
2020/3/17,41.85714286,574.5714286,149.7142857,0,0
2020/3/18,40,601.7142857,162.5714286,0,0
2020/3/19,37.71428571,624,178,0,0
2020/3/20,40.28571429,649.1428571,193.1428571,0,0
2020/3/21,36.42857143,671,207.7142857,0,0
2020/3/22,38.71428571,691.2857143,226.1428571,0,0
2020/3/23,42,713.5714286,245.8571429,0,0
2020/3/24,48.28571429,741.4285714,266.2857143,0,0
2020/3/25,56,778.5714286,285.1428571,0,0
2020/3/26,63.71428571,819.8571429,307.5714286,0,0
2020/3/27,70,867.4285714,330,0,0
2020/3/28,96.71428571,937.7142857,356.4285714,0,0
2020/3/29,111.8571429,1025.714286,380.2857143,0,0
2020/3/30,117.7142857,1121.857143,401.8571429,0,0
2020/3/31,137.4285714,1239.714286,421.4285714,0,0
2020/4/1,160.8571429,1375.428571,446.5714286,0,0
2020/4/2,187.7142857,1540.142857,469.5714286,0,0
2020/4/3,224.4285714,1741.857143,492.2857143,0,0
2020/4/4,244.8571429,1959.428571,519.5714286,0,0
2020/4/5,272.7142857,2206.714286,545,0,0
2020/4/6,296.7142857,2476.857143,571.5714286,0,0
2020/4/7,316.4285714,2761.714286,603.1428571,0,0
2020/4/8,354.2857143,3089.857143,629.2857143,0,0
2020/4/9,396.1428571,3456.857143,658.4285714,0,0
2020/4/10,437.1428571,3862,690.4285714,0,0
2020/4/11,477,4308.857143,720.5714286,0,0
2020/4/12,497,4773.428571,753,0,0
2020/4/13,516.8571429,5256.571429,786.7142857,0,0
2020/4/14,528.4285714,5747.857143,823.8571429,0,0
2020/4/15,532.7142857,6236.714286,867.7142857,0,0
2020/4/16,530.4285714,6724.142857,910.7142857,0,0
2020/4/17,520.7142857,7193.714286,961.8571429,0,0
2020/4/18,511.1428571,7652.428571,1014.285714,0,0
2020/4/19,495.5714286,8085.428571,1076.857143,0,0
2020/4/20,489.7142857,8502.428571,1149.571429,0,0
2020/4/21,481.5714286,8901.142857,1232.428571,0,0
2020/4/22,466.4285714,9182.285714,1417.714286,0,0
2020/4/23,449.4285714,9399.714286,1649.714286,0,0
2020/4/24,431.1428571,9589,1891.571429,0,0
2020/4/25,401.7142857,9737.428571,2144.857143,0,0
2020/4/26,379.8571429,9854,2408.142857,0,0
2020/4/27,356.4285714,9946.714286,2671.857143,0,0
2020/4/28,340.7142857,9998.714286,2960.571429,0,0
2020/4/29,308,10100.14286,3167.142857,0,0
2020/4/30,274.1428571,10204.85714,3336.571429,0,0
2020/5/1,251,10233,3559.428571,0,0
2020/5/2,239.1428571,10233.14286,3798.428571,0,0
2020/5/3,235,10223.28571,4043.285714,0,0
2020/5/4,234.8571429,10208.14286,4293.285714,0,0
2020/5/5,212,10199.42857,4514,0,0
2020/5/6,195.8571429,10152.71429,4756.571429,0,0
2020/5/7,182.2857143,10075.57143,5016,0,0
2020/5/8,154.5714286,9613.857143,5632.285714,0,0
2020/5/9,128.8571429,9137.428571,6237.571429,0,0
2020/5/10,110.4285714,8637.142857,6848.285714,0,0
2020/5/11,92.85714286,8079,7499.285714,0,0
2020/5/12,88.28571429,7391.857143,8274.714286,0,0
2020/5/13,81.28571429,6678.285714,9069.571429,0,0
2020/5/14,80.14285714,5926.714286,9901.285714,0,0
2020/5/15,75.42857143,5552,10351.42857,0,0
2020/5/16,68,5155.285714,10816.14286,0,0
2020/5/17,62.71428571,4766.428571,11267.71429,0,0
2020/5/18,58.71428571,4384.571429,11708.28571,0,0
2020/5/19,50.85714286,4075.285714,12068.42857,0,0
2020/5/20,48.28571429,3777.285714,12414.71429,0,0
2020/5/21,40.57142857,3491.857143,12740.71429,0,0
2020/5/22,37,3218.285714,13051.28571,0,0
2020/5/23,33.28571429,2955.285714,13347.57143,0,0
2020/5/24,34.85714286,2707.285714,13630.42857,0,0
2020/5/25,33.71428571,2475.428571,13896,0,0
2020/5/26,33,2276.428571,14128,0,0
2020/5/27,33,2107.428571,14330,0,0
2020/5/28,35.42857143,1975,14497.85714,0,0
2020/5/29,40.14285714,1859.714286,14653.28571,0,0
2020/5/30,42.42857143,1764.285714,14791.14286,0,0
2020/5/31,41.42857143,1670.142857,14926.71429,0,0
2020/6/1,43.42857143,1587,15053.28571,0,0
2020/6/2,46.85714286,1513.714286,15173.42857,0,0
2020/6/3,45.28571429,1452.285714,15280.14286,0,0
2020/6/4,42.85714286,1389,15386.28571,0,0
2020/6/5,39.71428571,1329.857143,15485.14286,0,0
2020/6/6,39.57142857,1270,15584.57143,0,0
2020/6/7,39.42857143,1215,15679,0,0
2020/6/8,37.42857143,1170.142857,15761.28571,0,0
2020/6/9,34.42857143,1128.285714,15837.57143,0,0
2020/6/10,35.85714286,1088.857143,15912.85714,0,0
2020/6/11,35.14285714,1048.571429,15988.28571,0,0
2020/6/12,37.42857143,1014,16060.28571,0,0
2020/6/13,37.14285714,979.8571429,16131.57143,0,0
2020/6/14,41.42857143,945.2857143,16207.57143,0,0
2020/6/15,46.85714286,923,16276.71429,0,0
2020/6/16,48.57142857,893.1428571,16355.14286,0,0
2020/6/17,49.57142857,863.8571429,16434,0,0
2020/6/18,53.57142857,843.7142857,16507.71429,0,0
2020/6/19,53.14285714,823.5714286,16581,0,0
2020/6/20,56.28571429,810.1428571,16650.71429,0,0
2020/6/21,54.28571429,797.1428571,16718,0,0
2020/6/22,51.42857143,773.2857143,16793.28571,0,0
2020/6/23,53,764.4285714,16855.14286,0,0
2020/6/24,59.57142857,765.2857143,16913.85714,0,0
2020/6/25,61.14285714,767.8571429,16972.42857,0,0
2020/6/26,67.57142857,780.2857143,17027.57143,0,0
2020/6/27,70.85714286,793,17085.71429,0,0
2020/6/28,79.85714286,810.7142857,17147.85714,0,0
2020/6/29,89.85714286,838.7142857,17209.71429,0,0
2020/6/30,101.1428571,872.1428571,17277.42857,0,0
2020/7/1,106.2857143,913.5714286,17342.28571,0,0
2020/7/2,122.7142857,968.7142857,17409.85714,0,0
2020/7/3,144.1428571,1040.714286,17482,0,0
2020/7/4,169.8571429,1133,17559.57143,0,0
2020/7/5,181.8571429,1237.142857,17637.28571,0,0
2020/7/6,191,1347.714286,17717.71429,0,0
2020/7/7,201.1428571,1463.285714,17803.28571,0,0
2020/7/8,212.2857143,1576.571429,17902.28571,0,0
2020/7/9,234.8571429,1698.857143,18014.85714,0,0
2020/7/10,259,1830.571429,18142.14286,0,0
2020/7/11,274.1428571,1968.428571,18278.42857,0,0
2020/7/12,302,2127.571429,18421.28571,0,0
2020/7/13,312.2857143,2284.285714,18576.85714,0,0
2020/7/14,329.8571429,2442.571429,18748.42857,0,0
2020/7/15,363.4285714,2615.428571,18939,0,0
2020/7/16,401.5714286,2812.857143,19143.14286,0,0
2020/7/17,425.8571429,3024.142857,19357.71429,0,0
2020/7/18,465.8571429,3267.428571,19580.28571,0,0
2020/7/19,481.7142857,3515,19814.42857,0,0
2020/7/20,504.4285714,3753.571429,20080.28571,0,0
2020/7/21,546.1428571,4000.285714,20379.71429,0,0
2020/7/22,596.7142857,4281,20695.71429,0,0
2020/7/23,646.2857143,4609.428571,21013.57143,0,0
2020/7/24,671.7142857,4967.571429,21327.14286,0,0
2020/7/25,692,5347.714286,21639,0,0
2020/7/26,739.5714286,5750.714286,21975.57143,0,0
2020/7/27,765,6137.285714,22354,0,0
2020/7/28,815.4285714,6543.428571,22763.28571,0,0
2020/7/29,880.1428571,6972.857143,23214,0,0
2020/7/30,928.5714286,7385.428571,23730,0,0
2020/7/31,1044.142857,7865,24294.57143,0,0
2020/8/1,1150,8394.857143,24914.71429,0,0
2020/8/2,1220.142857,8988.714286,25541,0,0
2020/8/3,1271.285714,9631.285714,26169.71429,0,0
2020/8/4,1309.714286,10292.85714,26817.85714,0,0
