,Base 1,Base 1 -30,Base 1 -20,Base 1 -10,Base 1 +10,Base 1 +20,Base 1 +30,Base 2 -30,Base 2 -20,Base 2 -10,Base 2,Base 3 -30,Base 3 -20,Base 3 -10,Base 3
2022-01-01,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135,22.365285523234135
2022-01-02,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.10043529447999,25.67584222135311,25.67584222135311,25.67584222135311,25.67584222135311
2022-01-03,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,26.29898740523744,28.267011696657423,28.267011696657423,28.267011696657423,28.267011696657423
2022-01-04,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,27.17803268593997,31.099265075570727,31.099265075570727,31.099265075570727,31.099265075570727
2022-01-05,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,27.983087301782938,34.3390139998895,34.3390139998895,34.3390139998895,34.3390139998895
2022-01-06,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,28.825648532622125,38.101949438168475,38.101949438168475,38.101949438168475,38.101949438168475
2022-01-07,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,29.756315255300425,42.48441427106092,42.48441427106092,42.48441427106092,42.48441427106092
2022-01-08,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,30.806693903565684,47.600422884149246,47.600422884149246,47.600422884149246,47.600422884149246
2022-01-09,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,32.0144368802392,53.619609404249836,53.619609404249836,53.619609404249836,53.619609404249836
2022-01-10,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,33.37854885324248,60.64906358585589,60.64906358585589,60.64906358585589,60.64906358585589
