date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Temp,Humidity,pcr_test
2020/2/21,-1.571428571,1.285714286,-1.857142857,-2.857142857,0.285714286,0.714285714,9.528571429,64.71428571,74.14285714
2020/2/22,-2.142857143,0.857142857,-4.285714286,-3.428571429,-0.428571429,1,9.542857143,66.28571429,75.57142857
2020/2/23,-0.714285714,2.142857143,3,-1.714285714,-0.142857143,0.714285714,9.7,58.28571429,71.85714286
2020/2/24,2.142857143,2.571428571,11.42857143,-5.428571429,-8,2.571428571,9.628571429,53.14285714,70.57142857
2020/2/25,2,3.285714286,11.28571429,-5.428571429,-7.857142857,2.571428571,10.04285714,55.42857143,75.57142857
2020/2/26,1.428571429,3.428571429,9.428571429,-5.714285714,-7.714285714,2.714285714,10.04285714,61.71428571,89.42857143
2020/2/27,0.857142857,3.714285714,8.285714286,-6.285714286,-7.714285714,2.857142857,9.757142857,60.42857143,98.14285714
2020/2/28,0.714285714,5.428571429,6.714285714,-7.428571429,-7.571428571,3,9.328571429,58.14285714,104.5714286
2020/2/29,0,6.571428571,5,-10,-7,3.285714286,8.885714286,56.28571429,116.2857143
2020/3/1,-1.571428571,7.428571429,2.571428571,-13.57142857,-6.857142857,3.857142857,9.114285714,60.57142857,124.4285714
2020/3/2,-5.571428571,7.285714286,-7.285714286,-11.85714286,0.714285714,2.428571429,8.757142857,66.85714286,119.7142857
2020/3/3,-5.857142857,7.571428571,-5.714285714,-13.71428571,0.285714286,2.857142857,8.871428571,66.71428571,135.2857143
2020/3/4,-7,6.857142857,-8,-15.71428571,-0.428571429,3.428571429,8.985714286,66.28571429,674.1428571
2020/3/5,-7.857142857,6.428571429,-8.571428571,-17.28571429,-1,3.857142857,9.3,66.85714286,752.4285714
2020/3/6,-8.857142857,4.714285714,-7.285714286,-18.42857143,-1.714285714,4.285714286,9.642857143,64.71428571,812.8571429
2020/3/7,-9.142857143,3.714285714,-5.285714286,-18.85714286,-2.714285714,4.428571429,9.342857143,65.28571429,808.4285714
2020/3/8,-10.14285714,1.857142857,-10.14285714,-20,-3.571428571,4.714285714,8.657142857,69.42857143,810.4285714
2020/3/9,-9.714285714,1.714285714,-6.428571429,-20,-3.714285714,4.714285714,9.485714286,67.28571429,988
2020/3/10,-10.71428571,0,-12,-20.42857143,-4.142857143,5,9.971428571,72.71428571,1026.714286
2020/3/11,-9.428571429,0.857142857,-7.142857143,-20,-4.142857143,4.714285714,10.88571429,68.85714286,489.7142857
2020/3/12,-8.571428571,1.142857143,-3.714285714,-19.57142857,-4.142857143,4.571428571,11.2,68.14285714,654.8571429
2020/3/13,-8,1.285714286,-3,-19.42857143,-4.142857143,4.571428571,11.64285714,72.28571429,698.5714286
2020/3/14,-8.285714286,0.428571429,-7.428571429,-19.85714286,-4.571428571,4.857142857,11.38571429,75.14285714,692.8571429
2020/3/15,-6.857142857,1.714285714,-1.142857143,-18.42857143,-4.285714286,4.428571429,11.37142857,71.28571429,683.1428571
2020/3/16,-6.857142857,1.428571429,-3.714285714,-18.42857143,-4.285714286,4.428571429,10.51428571,67.85714286,793
2020/3/17,-5.714285714,2.428571429,2.285714286,-18,-4.142857143,4.142857143,9.514285714,60.71428571,761.4285714
2020/3/18,-5.714285714,2.285714286,3.285714286,-17.71428571,-4.142857143,4.142857143,9.028571429,59.85714286,858.1666667
2020/3/19,-4.714285714,2.428571429,3.428571429,-17,-4.142857143,4,9.485714286,62.28571429,1130.666667
2020/3/20,-3,2.857142857,7.714285714,-19.42857143,-11.28571429,5.714285714,9.771428571,60.28571429,1007.333333
2020/3/21,-1.857142857,4.142857143,18.14285714,-17.71428571,-11.28571429,5.142857143,10.95714286,54,1011.5
2020/3/22,-2.142857143,3.571428571,19.42857143,-17.28571429,-11.28571429,5.142857143,12.34285714,51.42857143,1013.833333
2020/3/23,-1.714285714,3.571428571,22,-17,-11.28571429,5,12.8,52,1310.333333
2020/3/24,-1.571428571,3.428571429,22,-16.71428571,-11.28571429,5,12.87142857,51.57142857,1531.8
2020/3/25,-0.857142857,4.142857143,23.57142857,-16.28571429,-11.28571429,4.857142857,12.6,50.57142857,1388.833333
2020/3/26,-1.428571429,5.142857143,24.85714286,-16.71428571,-11.42857143,5,12.37142857,48.42857143,1108
2020/3/27,-3.857142857,4.714285714,17.85714286,-14.57142857,-4.714285714,3.428571429,12.61428571,51.42857143,1328.5
2020/3/28,-5.571428571,4.142857143,9.714285714,-17.14285714,-4.857142857,4,12.85714286,57,1355.833333
2020/3/29,-8,3,3.571428571,-20.42857143,-5.714285714,4.571428571,10.97142857,63.71428571,1380.833333
2020/3/30,-8.428571429,3.571428571,1.714285714,-21.42857143,-6.428571429,4.857142857,10.58571429,65.57142857,1317.333333
2020/3/31,-9,4.142857143,1,-22.42857143,-6.857142857,5,10.81428571,70.57142857,1402.571429
2020/4/1,-12.14285714,2.285714286,-7.571428571,-24.42857143,-7.714285714,5.714285714,11.01428571,78,1524
2020/4/2,-13.85714286,1.285714286,-9.428571429,-25.85714286,-8.428571429,6.142857143,11.14285714,77.28571429,2004
2020/4/3,-14.42857143,1.714285714,-4.428571429,-26.71428571,-9,6.285714286,10.65714286,74.57142857,2314.5
2020/4/4,-14.85714286,2.428571429,2.571428571,-27,-9.571428571,6.428571429,10.68571429,71.57142857,2310.333333
2020/4/5,-14.71428571,3.714285714,6.571428571,-27.28571429,-10.14285714,6.571428571,11.62857143,68.28571429,2312.333333
2020/4/6,-15.57142857,4.142857143,9,-27.85714286,-10.57142857,6.857142857,12.27142857,64.14285714,3044.833333
2020/4/7,-16.71428571,4,10.14285714,-28.85714286,-11.42857143,7.285714286,12.64285714,60,3483.166667
2020/4/8,-17,5,16.57142857,-30.14285714,-12.28571429,7.571428571,13.05714286,54.71428571,3183.142857
2020/4/9,-18.71428571,4.428571429,15.85714286,-32,-13.28571429,8.142857143,12.97142857,57.14285714,2919.714286
2020/4/10,-20.42857143,4.142857143,12.14285714,-33.85714286,-14.28571429,8.857142857,12.74285714,57,3217.428571
2020/4/11,-21.71428571,3.857142857,8.857142857,-35.71428571,-15.71428571,9.428571429,12.12857143,55,3413.571429
2020/4/12,-23.85714286,2.285714286,3.428571429,-37.85714286,-17,10,12.14285714,56.57142857,3390.571429
2020/4/13,-27.42857143,-0.857142857,-5.142857143,-40.85714286,-18.28571429,10.85714286,11.55714286,64.28571429,3587.142857
