,0_6.0_80
2020-01-22,0.0
2020-01-23,0.07144461016807879
2020-01-24,0.13514851197199285
2020-01-25,0.27030900480168185
2020-01-26,0.3891029955610197
2020-01-27,0.5407050484273968
2020-01-28,0.7955983688307153
2020-01-29,1.1334032043052877
2020-01-30,1.4394910786974364
2020-01-31,1.4917960428983355
2020-02-01,1.3494154110297245
2020-02-02,1.2256811559198528
2020-02-03,1.1074874552571323
2020-02-04,0.99515948392437
2020-02-05,0.8505278116110269
2020-02-06,0.6136764526975593
2020-02-07,0.46077637447371345
2020-02-08,0.4333228975494805
2020-02-09,0.42828102544239677
2020-02-10,0.4273980659762291
2020-02-11,0.39604320991489317
2020-02-12,0.4255534449725271
2020-02-13,0.7380747812588968
2020-02-14,1.310446296860924
2020-02-15,1.8411656871616202
2020-02-16,2.3119785445933374
2020-02-17,3.0290830888020928
2020-02-18,4.040292037119173
2020-02-19,5.089783461090857
2020-02-20,6.067211443380138
2020-02-21,7.496421782379251
2020-02-22,9.468678861525788
2020-02-23,11.234312244689818
2020-02-24,12.352865107107107
2020-02-25,13.184344230704639
2020-02-26,14.605573924679433
2020-02-27,16.381733407043868
2020-02-28,16.574138129851633
2020-02-29,15.97401994525211
2020-03-01,16.461966741654606
2020-03-02,17.733923903501704
2020-03-03,19.20023548893934
2020-03-04,21.072802409717383
2020-03-05,24.210618113657745
2020-03-06,28.18688420438002
2020-03-07,31.585823889327685
2020-03-08,34.26168934018028
2020-03-09,37.071388798026874
2020-03-10,39.727746421800475
2020-03-11,41.55372438340237
2020-03-12,42.738749545144856
2020-03-13,44.054213546026745
2020-03-14,43.85695638880611
2020-03-15,42.688380826836465
2020-03-16,41.51963234951859
2020-03-17,39.8563338450399
2020-03-18,38.806090743809136
2020-03-19,38.9008749165115
2020-03-20,40.61448239456331
2020-03-21,43.030416829510955
2020-03-22,44.99784841351482
2020-03-23,49.66048983808639
2020-03-24,56.549723509881005
2020-03-25,63.220153101200594
2020-03-26,74.18003214976011
2020-03-27,90.93083038835607
2020-03-28,108.24113805153183
2020-03-29,123.87635004500407
2020-03-30,139.96602470686275
2020-03-31,161.1746785665241
2020-04-01,187.18456253033423
2020-04-02,213.00502815130426
2020-04-03,237.09956952512266
2020-04-04,258.56674804708064
2020-04-05,279.4424532555149
2020-04-06,306.5633559188841
2020-04-07,335.29571133900345
2020-04-08,354.25047912448963
2020-04-09,372.1240892265819
2020-04-10,394.31037725374154
2020-04-11,427.29644328262657
2020-04-12,444.16109648643396
2020-04-13,441.77693219675893
2020-04-14,445.9488862075268
2020-04-15,449.80443946111063
2020-04-16,451.4562750770174
2020-04-17,456.39994170271166
2020-04-18,438.7701510706447
2020-04-19,406.0879826547025
2020-04-20,390.19011482198766
2020-04-21,383.8705004058429
2020-04-22,375.7605118797237
2020-04-23,364.99907659359815
2020-04-24,342.5521702803271
2020-04-25,317.221086809961
2020-04-26,298.5050904524669
2020-04-27,279.9037699962446
2020-04-28,257.994343984461
2020-04-29,236.12795604393614
2020-04-30,218.6057805959972
2020-05-01,205.4954025433035
2020-05-02,196.8355363585688
2020-05-03,187.78450680114656
2020-05-04,176.2876695143059
2020-05-05,167.2640952935999
2020-05-06,157.3390341434624
2020-05-07,140.93120150216419
2020-05-08,121.42571580350887
2020-05-09,104.1035917242898
2020-05-10,90.60214834868566
2020-05-11,86.90708773475853
2020-05-12,85.74528057210227
2020-05-13,79.05678204103424
2020-05-14,71.44613090600251
2020-05-15,64.42576134460978
2020-05-16,60.0985492039199
2020-05-17,55.39439575971119
2020-05-18,49.65101829875675
2020-05-19,45.49603169335933
2020-05-20,41.07521994951276
2020-05-21,37.156293164423914
2020-05-22,34.85408162557724
2020-05-23,34.56501987515912
